,TEAM,TIME,ATHLETES,MEET,MEET DATE,EVENT,GENDER
23,Harvard (A),3:32.05,"Thomas, Franklin, Scott, Miller",Florida Relays,2016-03-31,4x400,W
23,Purdue (D),3:32.05,"Jones, Cox, Black, Thomas",Big Ten Conference Outdoor Track & Field Championships,2016-05-13,4x400,W
25,Oregon (A),3:32.07,"Johnson, Stevens, Feldmeier, Rogers",Pepsi Invitational,2016-04-09,4x400,W
26,USC (E),3:32.16,"Pettigrew, Iuel, Smith, Stepter",Pepsi Invitational,2016-04-09,4x400,W
27,Baylor (A),3:32.31,"Bennett, Hawn, Horton, Williams",2016 Nike Clyde Littlefield Texas Relays,2016-03-30,4x400,W
28,Arkansas (H),3:32.34,"Harper, Swinton, Dobbins, Birch",LSU Invitational,2016-04-30,4x400,W
29,Minnesota (A),3:32.50,"Hawkins, Keller, Egwim, Markland",Big Ten Conference Outdoor Track & Field Championships,2016-05-13,4x400,W
30,Stanford (B),3:32.67,"Gayles, Baker, Mongiovi, Williams",Stanford Invitational,2016-04-01,4x400,W
31,Oklahoma (B),3:32.95,"Pipi, Roberson, Demerson, Baker",2016 Nike Clyde Littlefield Texas Relays,2016-03-30,4x400,W
32,Notre Dame (D),3:33.17,"English, Barber, Miller, Bamgbose",2016 Drake Relays presented by Hy-Vee,2016-04-27,4x400,W
33,Ohio State (G),3:33.32,"Winters, Walker, Barrie, Cavin",2016 Drake Relays presented by Hy-Vee,2016-04-27,4x400,W
34,Michigan (E),3:33.42,"Ofili, Wee, Pfeifer, Long",Big Ten Conference Outdoor Track & Field Championships,2016-05-13,4x400,W
35,Kansas State (F),3:33.57,"Gaskin, Jones, Gamble, Mitchell",John McDonnell Invitational,2016-04-22,4x400,W
36,LSU (D),3:33.69,"Jones, Misher, Chase, Gordon",2016 Nike Clyde Littlefield Texas Relays,2016-03-30,4x400,W
37,Alabama (B),3:33.80,"Funcheon, Williams, Gause, Gholston",SEC Championships,2016-05-12,4x400,W
38,Arizona (D),3:33.81,"Waggoner, Gray, Trevisan, Watson",Jim Click Shootout,2016-04-09,4x400,W
39,Tennessee (C),3:33.95,"Dyer, Davis-White, Brown, Majors",Seminole Invitational,2016-04-15,4x400,W
40,Stanford (F),3:33.96,"Gayles, Baker, Williams, Williams",Michael Johnson Classic,2016-04-23,4x400,W
41,Texas (I),3:34.11,"Golden, Akinosun, Gonzalez, Okolo",2016 Drake Relays presented by Hy-Vee,2016-04-27,4x400,W
42,USC (G),3:34.14,"Ellis, Pettigrew, Hill, Stepter",Pac-12 Outdoor Track & Field Championships,2016-05-14,4x400,W
43,Missouri (I),3:34.20,"Farquharson, Thames, Jackson, Adewole",SEC Championships,2016-05-12,4x400,W
44,South Carolina (F),3:34.40,"Bellamy, Abrams, Brockington, Hubbard",Seminole Invitational,2016-04-15,4x400,W
44,Kentucky (F),3:34.40,"Asemota, Mitchell, Quinn, Seymour",Virginia Challenge,2016-04-22,4x400,W
44,Kentucky (D),3:34.40,"Saunders, Hitchcock, Pugh, Graham",Florida Relays,2016-03-31,4x400,W
47,Florida (C),3:34.63,"Francis, Barnett, Sharpe, Jefferson",UF Tom Jones Memorial,2016-04-22,4x400,W
48,LSU (H),3:34.64,"Jones, Chase, Payne, Gordon",Texas Invitational,2016-04-16,4x400,W
49,Purdue (A),3:34.96,"Dunlap, Cox, Black, Jones",2016 Drake Relays presented by Hy-Vee,2016-04-27,4x400,W
50,Arkansas (E),3:34.99,"Swinton, Harper, Dobbins, Parker",John McDonnell Invitational,2016-04-22,4x400,W
51,Purdue (B),3:35.05,"Dunlap, Cox, Black, Thomas",2016 Nike Clyde Littlefield Texas Relays,2016-03-30,4x400,W
52,LSU (A),3:35.06,"Lawrence, Jones, Misher, Chase",Miami Hurricane Twilight Invitational,2016-03-25,4x400,W
53,Duke (B),3:35.07,"Maslowski, Kopp, Kerr, Price",Mt. SAC Relays,2016-04-14,4x400,W
54,Miss State (C),3:35.12,"Luckett, Martin, Bougard, McNeil",LSU Alumni Gold,2016-04-23,4x400,W
55,Clemson (C),3:35.16,"James, Thomas, Coppin, Parrish",ACC Championships,2016-05-13,4x400,W
56,South Carolina (C),3:35.22,"Bellamy, Abrams, Rucker, Haith",Georgia Tech Yellow Jacket Invitational,2016-03-25,4x400,W
57,Oklahoma (E),3:35.35,"Pipi, Mukes, Demerson, Baker",Big 12 Outdoor Track & Field Championships,2016-05-13,4x400,W
58,Kentucky (B),3:35.56,"Saunders, Hitchcock, Asemota, Gray",Florida Relays,2016-03-31,4x400,W
59,Ohio State (D),3:35.72,"Walker, Winters, Sam, Cavin",LSU Battle on the Bayou,2016-04-09,4x400,W
60,Arizona (G),3:35.82,"Trevisan, Hailey, Gray, Watson",2016 Duel in the Desert,2016-04-30,4x400,W
61,Kansas State (H),3:35.95,"Gaskin, Mitchell, Parks, Gamble",Big 12 Outdoor Track & Field Championships,2016-05-13,4x400,W
62,Missouri (D),3:35.97,"Cody, Thames, Jackson, Adewole",Florida Relays,2016-03-31,4x400,W
63,Tulane (A),3:36.07,"Duckett, Blocker, Adamson, McMillan",The American Outdoor Track & Field Championships,2016-05-12,4x400,W
64,Baylor (D),3:36.16,"Dayries, Horton, Bennett, Purtell",2016 Baylor Invitational,2016-04-09,4x400,W
65,Stanford (G),3:36.19,"Gayles, Crunkleton-Wils, Saunders, Baker",Pac-12 Outdoor Track & Field Championships,2016-05-14,4x400,W
66,Alabama State (A),3:36.22,"Williams, Ferebee, Etienne, Wilson",Florida Relays,2016-03-31,4x400,W
67,North Dakota State (D),3:36.29,"Kitching, Milbrath, Jackson, Woods",Stanford Invitational,2016-04-01,4x400,W
68,Duke (A),3:36.30,"Lowe, Kopp, Kerr, Price",Penn Relays,2016-04-28,4x400,W
69,St. John's (E),3:36.39,"Stephens, Garcia, Ricketts, Mooney",Penn Relays,2016-04-28,4x400,W
70,Mississippi (E),3:36.44,"Alexander, Carbo, Newsome, Tate",SEC Championships,2016-05-12,4x400,W
71,Arizona (I),3:36.65,"Trevisan, Gray, Warren, Watson",Pac-12 Outdoor Track & Field Championships,2016-05-14,4x400,W
72,South Carolina (A),3:36.68,"Abrams, Bellamy, Holmes, Brockington",Alan Connie Shamrock Invitational,2016-03-17,4x400,W
73,USC (F),3:36.70,"Pettigrew, Ellis, Smith, Iuel",UCLA vs. USC Dual Meet,2016-05-01,4x400,W
74,Washington St. (B),3:36.76,"Gaffney, Keel, Ekelem, Harper",Mt. SAC Relays,2016-04-14,4x400,W
74,Ohio State (J),3:36.76,"Walker, Winters, Hannan, Franklin",2016 Drake Relays presented by Hy-Vee,2016-04-27,4x400,W
76,Kansas (E),3:36.80,"Adams, Sanni, Montgomery, Newell",Big 12 Outdoor Track & Field Championships,2016-05-13,4x400,W
77,Fresno State (E),3:36.87,"Johnson, Omawahleh, Harris-Murillo, Johnson",2016 Baylor Invitational,2016-04-09,4x400,W
78,Kansas State (D),3:37.07,"Gaskin, Mitchell, McKenzie, Gamble",LSU Battle on the Bayou,2016-04-09,4x400,W
79,Fresno State (D),3:37.26,"Johnson, Harris-Murillo, Omawahleh, Efonye",Stanford Invitational,2016-04-01,4x400,W
80,Texas A&M (A),3:37.34,"Sparling, Fray, Owens, Desrosiers",Baldy Castillo Invitational,2016-03-18,4x400,W
81,Kansas State (C),3:37.35,"McKenzie, Mitchell, Parks, Gamble",Bruin Legends of T&F Invitational,2016-04-02,4x400,W
82,Clemson (F),3:37.36,"Coppin, James, Farrow, George",2016 Nike Clyde Littlefield Texas Relays,2016-03-30,4x400,W
82,Texas A&M (M),3:37.36,"Carter, Crear, Thompson, Owens",Michael Johnson Classic,2016-04-23,4x400,W
84,Texas A&M (J),3:37.44,"Sparling, Owens, Spaulding, Carter",37th Annual Sun Angel Classic,2016-04-08,4x400,W
85,Duke (D),3:37.57,"Kopp, Price, Kerr, Banks",ACC Championships,2016-05-13,4x400,W
86,Alabama State (C),3:37.60,"Williams, Ferebee, Gordon, Wilson",Mt. SAC Relays,2016-04-14,4x400,W
87,Arkansas (C),3:37.61,"Swinton, Harper, Birch, Watson",Texas Invitational,2016-04-16,4x400,W
88,Houston (B),3:37.64,"Hardnett, Young, Williams, Nolan",The American Outdoor Track & Field Championships,2016-05-12,4x400,W
89,Baylor (G),3:37.87,"Bennett, Hawn, Fields, Horton",2016 Drake Relays presented by Hy-Vee,2016-04-27,4x400,W
90,Notre Dame (A),3:37.96,"Shead, Barber, Miller, English",Georgia Tech Yellow Jacket Invitational,2016-03-25,4x400,W
91,Colorado (A),3:37.99,"Peters, Holland, Scott, Gehring",Mt. SAC Relays,2016-04-14,4x400,W
92,UTSA (F),3:38.18,"Arinze, Andres, Patterson, Clark",Texas State Bobcat Classic,2016-04-29,4x400,W
93,Illinois State (A),3:38.20,"Christiani, McClain, Wilson, Mussallem",2016 Drake Relays presented by Hy-Vee,2016-04-27,4x400,W
94,Rutgers (F),3:38.23,"Gordon, Francis, Saunders, Farquharson",Georgia Tech Invitational,2016-04-22,4x400,W
95,Clemson (A),3:38.34,"Thomas, Coppin, Farrow, James",Tiger Track Classic,2016-04-08,4x400,W
96,Missouri (A),3:38.44,"Farquharson, Jackson, Obi, Thames",Arkansas Spring Invitational,2016-03-25,4x400,W
97,Oklahoma (A),3:38.49,"Pipi, Roberson, Demerson, Mukes",Baldy Castillo Invitational,2016-03-18,4x400,W
98,Purdue (C),3:38.50,"Dunlap, Black, Jones, Thomas",LSU Battle on the Bayou,2016-04-09,4x400,W
99,Cincinnati (F),3:38.56,"Robinson, Lee, Gesicki, Woodall",The American Outdoor Track & Field Championships,2016-05-12,4x400,W
100,Virginia (C),3:38.59,"Ezumah, Chaney, Naibe-Wey, Wright",ACC Championships,2016-05-13,4x400,W
1,Kentucky,3:25.99,"Ross, Camacho-Quinn, McLaughlin, Clarke",SEC Outdoor Track and Field Championships,2018-05-11,4x400,W
2,Florida,3:27.30,"Manson, Barnett, Stephens, Sharpe",SEC Outdoor Track and Field Championships,2018-05-11,4x400,W
3,LSU,3:28.02,"Misher, Denoon, Payne, Hall",SEC Outdoor Track and Field Championships,2018-05-11,4x400,W
4,Purdue,3:28.42,"Abbott, Thomas, Black, Mitchell",2018 Drake Relays presented by Hy-Vee,2018-04-25,4x400,W
5,Tennessee,3:28.96,"Dyer, Collins, McCoy, Majors",SEC Outdoor Track and Field Championships,2018-05-11,4x400,W
6,Texas A&M,3:29.61,"Madubuike, Carter, Fray, Watson",SEC Outdoor Track and Field Championships,2018-05-11,4x400,W
7,Alabama,3:29.71,"Lampkin, Darius, Funcheon, Roberson",SEC Outdoor Track and Field Championships,2018-05-11,4x400,W
8,LSU (B),3:30.34,"Misher, Humphrey, Payne, Hall",LSU Alumni Gold,2018-04-21,4x400,W
9,Baylor,3:30.42,"Powell, Bennett, Miller, Horton",Big 12 Conference Outdoor Track and Field Championships,2018-05-11,4x400,W
10,USC,3:30.45,"Roberts, Cockrell, Hill, Ellis",2018 Pac-12 Track & Field Championships,2018-05-12,4x400,W
11,Arkansas,3:31.15,"Burks Magee, Parker, Baylark, Davis",SEC Outdoor Track and Field Championships,2018-05-11,4x400,W
12,Alabama (B),3:31.24,"Lampkin, Darius, Funcheon, Clark",LSU Invitational,2018-04-28,4x400,W
13,Ohio State,3:31.33,"Winters, Wilson, Richardson, Barrie",2018 Drake Relays presented by Hy-Vee,2018-04-25,4x400,W
14,Stanford,3:31.65,"Wilson, Gayles, Mongiovi, Baker",National Relay Championships,2018-04-27,4x400,W
15,Baylor (B),3:31.93,"Bennett, Grant, Hawn, Horton",Home Depot Clyde Littlefield Texas Relays,2018-03-28,4x400,W
15,Oregon,3:31.93,"D'Arpino, Waller, Anderson, Dunmore",Mt. SAC Relays,2018-04-19,4x400,W
17,Florida (B),3:31.95,"Sharpe, Manson, Ghee, Barnett",Florida Relays,2018-03-29,4x400,W
18,Miami,3:32.40,"Mason, Runia, Atherley, Gonzalez",ACC Outdoor Championships,2018-05-10,4x400,W
19,Duke,3:32.43,"Lowe, Kerr, Aveni, Price",Penn Relays,2018-04-26,4x400,W
20,Clemson,3:32.79,"Clarke, Williams, McIntosh, Ferguson",Penn Relays,2018-04-26,4x400,W
21,Baylor (C),3:32.86,"Stewart, Miller, Hawn, Powell",Michael Johnson Invitational,2018-04-21,4x400,W
22,Texas,3:33.06,"Douglas, Jones, Abdul-Rashid, Golden",Big 12 Conference Outdoor Track and Field Championships,2018-05-11,4x400,W
23,Texas A&M (B),3:33.15,"Madubuike, Carter, Ivy, Owens",Home Depot Clyde Littlefield Texas Relays,2018-03-28,4x400,W
24,Miami (B),3:33.19,"Mason, Gonzalez, Atherley, Johnson",Florida Relays,2018-03-29,4x400,W
25,Oregon (B),3:33.30,"DesRosiers, Anderson, D'Arpino, Waller",2018 Pac-12 Track & Field Championships,2018-05-12,4x400,W
26,Minnesota,3:33.53,"Egwim, Schow, Larson, Markland",Beach Invitational,2018-04-20,4x400,W
27,Stanford (B),3:33.64,"Gayles, Best, Mongiovi, Baker",2018 Pac-12 Track & Field Championships,2018-05-12,4x400,W
28,Ohio State (B),3:33.69,"Winters, Barlow, Richardson, Wilson",Big Ten Championships,2018-05-11,4x400,W
29,Florida (C),3:33.71,"Manson, Johnson, Ghee, Stephens",UF Tom Jones Memorial,2018-04-13,4x400,W
30,Kansas,3:33.83,"Linder, Caldwell, Montgomery, Finley",39th Sun Angel Classic,2018-04-05,4x400,W
31,LSU (C),3:33.91,"Payne, Hall, Lawrence, Humphrey",Miami Hurricane Collegiate Invitational,2018-04-14,4x400,W
32,Minnesota (B),3:33.98,"Egwim, Huls, Markland, Larson",Ole Miss Classic,2018-03-31,4x400,W
33,San Diego St.,3:34.11,"Hatcher, Barrow, Harris, Lea",2018 Desert Heat Classic,2018-04-28,4x400,W
34,Tennessee (B),3:34.13,"Dyer, Majors, Collins, Broadwater",Florida Relays,2018-03-29,4x400,W
35,Florida (D),3:34.34,"Stephens, Ghee, Ward, Manson",FSU Relays,2018-03-23,4x400,W
36,Alabama (C),3:34.37,"Roberson, Clark, Darius, Funcheon",UF Tom Jones Memorial,2018-04-13,4x400,W
37,Miami (C),3:34.72,"Runia, Mason, Gonzalez, Johnson",Miami Hurricane Invitational,2018-03-16,4x400,W
38,Miss State,3:34.77,"Lewis, Mosley, White, Smith",Tennessee Relays,2018-04-12,4x400,W
39,Kentucky (B),3:34.80,"Mitchell, Clarke, Ross, Gray",Tennessee Relays,2018-04-12,4x400,W
40,Clemson (B),3:34.96,"Warner, Clarke, McIntosh, Ferguson",Home Depot Clyde Littlefield Texas Relays,2018-03-28,4x400,W
41,North Carolina,3:34.97,"Christian, Dunston, Dixon, McNeill",ACC Outdoor Championships,2018-05-10,4x400,W
42,Texas Tech,3:35.31,"Rockwell, Limp, Roberson, Warden",Big 12 Conference Outdoor Track and Field Championships,2018-05-11,4x400,W
43,Kansas (B),3:35.46,"Finley, Caldwell, Eubanks, Montgomery",National Relay Championships,2018-04-27,4x400,W
44,LSU (D),3:35.52,"Misher, Denoon, Young, Woodward",Miami Hurricane Collegiate Invitational,2018-04-14,4x400,W
45,Miami (D),3:35.58,"Johnson, Runia, Steele, McMinn",Miami Hurricane Alumni Invitational,2018-04-06,4x400,W
46,Arizona,3:35.68,"Waggoner, Pahlitzsch, Andrews, Warren",2018 Jim Click Shootout,2018-04-07,4x400,W
47,Florida (E),3:35.72,"Sharpe, Johnson, Froeynes, Barnett",FSU Relays,2018-03-23,4x400,W
48,Clemson (C),3:35.74,"Warner, Williams, McIntosh, Ferguson",LSU Alumni Gold,2018-04-21,4x400,W
49,Texas (B),3:35.89,"Douglas, Seymour, Jones, Golden",LSU Alumni Gold,2018-04-21,4x400,W
50,Iowa,3:35.94,"Champe, Guillory, Plock, Sharpe",Big Ten Championships,2018-05-11,4x400,W
51,Indiana,3:35.96,"Egbula, Wiles, Valentin, Price",2018 Billy Hayes Invitational,2018-05-04,4x400,W
52,Texas State,3:36.24,"Evans, Hardy, Oyetunde, Willis",LSU Alumni Gold,2018-04-21,4x400,W
53,Northwestern St.,3:36.31,"Style, Jones, Jackson, Lageroy",Southland Conference Outdoor Track & Field Championships,2018-05-04,4x400,W
54,Virginia Tech,3:36.35,"Blanden, Tate, Dennis, Bush",ACC Outdoor Championships,2018-05-10,4x400,W
54,Harvard,3:36.35,"Miklos, Okoli, Joiner, Thomas",Ivy League Outdoor Track & Field Championships,2018-05-05,4x400,W
56,Columbia,3:36.39,"Sule, Turner, Petersen, Obeng-Akrofi",Ivy League Outdoor Track & Field Championships,2018-05-05,4x400,W
57,LSU (E),3:36.47,"Payne, Misher, Denoon, Young",LSU Battle on the Bayou,2018-04-07,4x400,W
58,Houston,3:36.51,"Keith, Hawkins, Tilford-Rutherf, Bethel",The American Outdoor Track & Field Championships,2018-05-11,4x400,W
59,Penn,3:36.52,"Ene, O'Neil, Taylor, Nwogwugwu",Penn Relays,2018-04-26,4x400,W
60,Pittsburgh,3:36.56,"Harvey, Newkirk, Ismail, Garland",Home Depot Clyde Littlefield Texas Relays,2018-03-28,4x400,W
61,Connecticut,3:36.67,"Cherrington, Surin, Foley, Aneno",The American Outdoor Track & Field Championships,2018-05-11,4x400,W
62,Ohio State (C),3:36.72,"Richardson, Winters, Barrie, Clody",2018 Jim Click Shootout,2018-04-07,4x400,W
63,Ole Miss,3:36.75,"Carbo, Allen, Newsome, Mattix",SEC Outdoor Track and Field Championships,2018-05-11,4x400,W
63,Liberty,3:36.75,"Green, Ealum, Dowling, Dansbury",Big South Conference Outdoor Track and Field Championships,2018-05-09,4x400,W
65,Kansas (C),3:36.82,"Kuykendoll, Linder, Montgomery, Finley",Home Depot Clyde Littlefield Texas Relays,2018-03-28,4x400,W
66,Texas Tech (B),3:36.84,,Home Depot Clyde Littlefield Texas Relays,2018-03-28,4x400,W
67,Ohio State (D),3:36.89,"Richardson, Hannan, Wilson, Winters",USC Power 5 Challenge,2018-03-23,4x400,W
68,N. Carolina A&T,3:36.91,"Ray, Williams, Russell, Lundy",Florida Relays,2018-03-29,4x400,W
69,Virginia Tech (B),3:36.95,"Blanden, Tchume, Dennis, Bush",National Relay Championships,2018-04-27,4x400,W
69,Stanford (C),3:36.95,"Mongiovi, Crunkleton-Wils, Baker, Wilson",2018 Big Meet,2018-04-07,4x400,W
71,Oklahoma State,3:37.02,"Coleman, Dixon, Wesley, Ferrante",Big 12 Conference Outdoor Track and Field Championships,2018-05-11,4x400,W
72,Nebraska,3:37.20,"Griggs, Barge, Carr, Jones",Florida Relays,2018-03-29,4x400,W
73,Mid. Tenn. State,3:37.22,"Castor, Assafuah, Odiong, Egbeniyi",2018 Conference USA Outdoor Track & Field Championships,2018-05-10,4x400,W
74,Kansas State,3:37.27,"McKenzie, Schultz, Taubert, Mitchell",Big 12 Conference Outdoor Track and Field Championships,2018-05-11,4x400,W
74,Arkansas (B),3:37.27,"Burks Magee, Parker, Hammit, Davis",Home Depot Clyde Littlefield Texas Relays,2018-03-28,4x400,W
76,South Carolina,3:37.30,"Davis, Holmes, Mills, Haith",Penn Relays,2018-04-26,4x400,W
77,Eastern Michigan,3:37.31,"Nelms, Johnston, Gibson, Jones",Penn Relays,2018-04-26,4x400,W
78,Sam Houston St.,3:37.39,"Spivey, Mitchell, Grigsby, Church",Southland Conference Outdoor Track & Field Championships,2018-05-04,4x400,W
79,LSU (F),3:37.64,"Lawrence, Humphrey, Farrow, Woodward",LSU Invitational,2018-04-28,4x400,W
80,USC (B),3:37.69,"Cockrell, Hill, Terry, Ellis",USC Power 5 Challenge,2018-03-23,4x400,W
81,UNLV,3:37.74,"Hudspeth, Wilson-Perteete, Love, Hudspeth",Adidas Steve Scott Invitational,2018-04-27,4x400,W
81,Tennessee Tech,3:37.74,"Robinson, Tate, Jackson, Roberts",Ohio Valley Conference Championship,2018-05-10,4x400,W
83,Texas A&M (C),3:37.84,"Madubuike, Owens, Thompson, Baird",2018 Baldy Castillo Invitational,2018-03-16,4x400,W
84,Northwestern St. (B),3:37.86,"Jackson, Jones, Lageroy, Willis",LSU Alumni Gold,2018-04-21,4x400,W
85,Ohio State (E),3:37.87,"Hannan, Battle, Wilson, Winters",UCF Black and Gold Challenge,2018-03-16,4x400,W
86,Arizona (B),3:37.93,"Waggoner, Pahlitzsch, Gajda, Warren",2018 Desert Heat Classic,2018-04-28,4x400,W
87,Maryland,3:37.98,"Santiago, Merriweather, Jones, Merriweather",Penn Relays,2018-04-26,4x400,W
88,Washington,3:38.03,"Tarleton, Birkenfeld, Brown, Apostol",2018 Pac-12 Track & Field Championships,2018-05-12,4x400,W
89,LSU (G),3:38.08,"Young, Denoon, Farrow, Lawrence",LSU Alumni Gold,2018-04-21,4x400,W
90,Nebraska (B),3:38.09,"Griggs, Carr, Peskova, Jones",Big Ten Championships,2018-05-11,4x400,W
91,Purdue (B),3:38.10,"Dorsey, Miller, Hodges, Black",2018 Drake Relays presented by Hy-Vee,2018-04-25,4x400,W
91,Southern Illinois,3:38.10,"Ewell, Harris, Eason, Maloney",2018 MVC Outdoor Track & Field Championships,2018-05-11,4x400,W
93,Texas Tech (C),3:38.12,"Rockwell, Limp, Johnson, Warden",Home Depot Clyde Littlefield Texas Relays,2018-03-28,4x400,W
94,Pittsburgh (B),3:38.20,"Harvey, Scherer, Ismail, Garland",Penn Relays,2018-04-26,4x400,W
95,BYU,3:38.34,"Rawlinson, Pinnock, Quackenbush, Porter",Mt. SAC Relays,2018-04-19,4x400,W
96,Colorado,3:38.43,,Pac-12+ vs Big Ten Invitational,2018-03-23,4x400,W
97,Mid. Tenn. State (B),3:38.46,"Assafuah, Odia, Odiong, Egbeniyi",Tennessee Relays,2018-04-12,4x400,W
98,Incarnate Word,3:38.49,"Mays, Jackson, Simmons, Sebastion",Southland Conference Outdoor Track & Field Championships,2018-05-04,4x400,W
99,Kansas (D),3:38.56,"Finley, Eubanks, Montgomery, Linder",Kansas Relays,2018-04-18,4x400,W
100,George Mason,3:38.58,"Lucas, Dorsey, Lewis, Moore",A-10 Championships,2018-05-05,4x400,W
1,Texas (B),3:25.05,"Nelson, Okolo, Baisden, Spencer",Penn Relays,2014-04-24,4x400,W
2,Florida (A),3:27.38,"Reynolds, Whittaker, Gause, Eutsey",Florida Relays,2014-04-03,4x400,W
3,Texas A&M (H),3:28.59,"Bellille, Mayungbe, Brown, Ekpone",SEC Outdoor Championship,2014-05-15,4x400,W
4,USC (E),3:29.42,"Ndipagbor, Jones, Davis, Gaither",Florida Relays,2014-04-03,4x400,W
5,Florida (B),3:29.49,"Reynolds, Gause, Curtis, Eutsey",SEC Outdoor Championship,2014-05-15,4x400,W
6,Arkansas (A),3:29.58,"Harper, Ellis-Watson, Williams, Williams",SEC Outdoor Championship,2014-05-15,4x400,W
7,Oregon (D),3:29.82,"Francis, Okodogbe, Roesler, Francis",Penn Relays,2014-04-24,4x400,W
8,Texas A&M (F),3:29.96,"Ekpone, Little, Mayungbe, Brown",Penn Relays,2014-04-24,4x400,W
9,Baylor (D),3:31.19@,"Nichols, Fields, Williams, Rhone",Big 12 Outdoor Track and Field Championships,2014-05-16,4x400,W
9,Kentucky (B),3:31.19,"Harrison, Bryant, Saunders, Whaley",Florida Relays,2014-04-03,4x400,W
11,Texas A&M (B),3:31.27,"Little, Mayungbe, Brown, Ekpone",2014 Clyde Littlefield Texas Relays,2014-03-26,4x400,W
12,Arkansas (H),3:32.18,"Swinton, Harper, Williams, Williams",2014 Drake Relays presented by Hy-Vee,2014-04-23,4x400,W
13,UCF (F),3:32.59,"Jean-Claude, Clayton, Jocelyn, Charles",The American Outdoor Track & Field Championships,2014-05-02,4x400,W
14,Notre Dame (D),3:32.65,"Lalla, Barber, Rotondo, Bamgbose",Georgia Tech Invitational,2014-05-16,4x400,W
15,Connecticut (D),3:32.83,"Emerson, Dismuke, Smith-Jenkins, Joseph",The American Outdoor Track & Field Championships,2014-05-02,4x400,W
16,Texas Tech (C),3:32.86,"Roye-Speight, Rivers, Blake, White",2014 Clyde Littlefield Texas Relays,2014-03-26,4x400,W
17,Clemson (D),3:32.87,"James, Fluker, Fountain, Wesh",Georgia Tech Invitational,2014-05-16,4x400,W
18,Baylor (A),3:33.07,"Nichols, Fields, Nwachukwu, Rhone",2014 Drake Relays presented by Hy-Vee,2014-04-23,4x400,W
19,Penn State (A),3:33.10,"McGee, Jones, Rhodes, Seymour",Penn Relays,2014-04-24,4x400,W
20,Arizona State (B),3:33.13,"McDonald, Franklin, Geren, Tate",Mt. SAC Relays,2014-04-17,4x400,W
20,Texas Tech (D),3:33.13@,"Roye-Speight, Blake, Tarver, White",Big 12 Outdoor Track and Field Championships,2014-05-16,4x400,W
22,Texas A&M (D),3:33.38,"Ekpone, Little, Bellille, Brown",LSU Alumni Gold,2014-04-19,4x400,W
23,Notre Dame (B),3:33.42,"Yanik, Brown, Lalla, Bamgbose",2014 Drake Relays presented by Hy-Vee,2014-04-23,4x400,W
23,Texas Tech (H),3:33.42,"Roye-Speight, Rivers, Tarver, Blake",Mt. SAC Relays,2014-04-17,4x400,W
25,Notre Dame (A),3:33.55,"Barber, Brown, Lalla, Bamgbose",2014 Drake Relays presented by Hy-Vee,2014-04-23,4x400,W
26,Texas A&M (C),3:33.75,"Mayungbe, Brown, Bellille, Little",35th Sun Angel Track Classic,2014-04-11,4x400,W
27,Alabama State (D),3:34.12,"Ferebee, Etienne, Williams, Wedderburn",Georgia Tech Invitational,2014-05-16,4x400,W
28,Clemson (C),3:34.35,"Fountain, Fluker, Pringley, Wesh",Florida Relays,2014-04-03,4x400,W
29,Oregon (C),3:34.49,"Francis, Okodogbe, Leblanc, Francis",Penn Relays,2014-04-24,4x400,W
30,North Dakota St. (E),3:34.56,"Stratioti, Milbrath, Goodman, Tingelstad",2014 Drake Relays presented by Hy-Vee,2014-04-23,4x400,W
31,Rutgers (D),3:34.61,"Ugboaja, Gillon, Farquharson, Ruth",Penn Relays,2014-04-24,4x400,W
32,North Dakota St. (F),3:34.64,"Milbrath, Heinze, Goodman, Tingelstad",2014 Drake Relays presented by Hy-Vee,2014-04-23,4x400,W
33,USC (H),3:34.72,"Ndipagbor, Liverpool, Jones, Gaither",Pac-12 Outdoor Track and Field Championships,2014-05-17,4x400,W
34,Purdue (A),3:34.81,"Morrison, Jones, Shoolbraid, Smith",Big Ten Outdoor Track & Field Championships,2014-05-16,4x400,W
35,Iowa (A),3:34.83,"Guster, Hernandez, Holder, Kwaza",Arkansas Spring Invitational,2014-04-04,4x400,W
36,Houston (C),3:34.95,"Wallace, Onwumere, Young, Moody",Penn Relays,2014-04-24,4x400,W
37,Minnesota (B),3:35.07,"Markland, Waldvogel, Adderly, Geyen",Big Ten Outdoor Track & Field Championships,2014-05-16,4x400,W
38,Notre Dame (C),3:35.13,"Yanik, Lalla, Rotondo, Brown",Virginia Challenge,2014-05-09,4x400,W
39,Houston (G),3:35.27,"Wallace, Nolan, Young, Moody",The American Outdoor Track & Field Championships,2014-05-02,4x400,W
40,Arkansas (B),3:35.39,"Harper, Swinton, Williams, Ellis-Watson",Arkansas Spring Invitational,2014-04-04,4x400,W
41,South Carolina (L),3:35.49,"Johnson, Haith, Brockington, Harris",SEC Outdoor Championship,2014-05-15,4x400,W
42,Cornell (A),3:35.50,"Kolliesuah, Wilkinson, Airewele, Akpaete",2014 ECAC-IC4A Outdoor Championships,2014-05-16,4x400,W
43,Hampton (G),3:35.56,"Holland, Fraenk, Brown, Parker",Penn Relays,2014-04-24,4x400,W
44,LSU (D),3:35.59,"Jones, Tracey, Duncan, Chase",Penn Relays,2014-04-24,4x400,W
45,Coastal Carolina (A),3:35.73,"Gelibert, Hurley, Green, Simpson",Penn Relays,2014-04-24,4x400,W
